ID    |TERMINO                       |CF    |DF    
5725  |advanceddesc                  |9     |2     
5726  |adven                         |3     |3     
5727  |advert                        |3     |3     
5728  |advertent                     |3     |3     
5729  |advertising                   |1     |1     
5730  |adviert                       |3     |3     
5731  |advin                         |1     |1     
5732  |advirti                       |2     |1     
5733  |ae6d                          |1     |1     
5734  |aeapg                         |1     |1     
5735  |aeb404                        |4     |1     
5736  |aeby                          |1     |1     
5737  |aec                           |1     |1     
5738  |aegund                        |1     |1     
5739  |aelf                          |1     |1     
5740  |aer                           |2     |1     
5741  |aere                          |2     |2     
5742  |aerobica4imagen               |1     |1     
5743  |aerobics                      |1     |1     
5744  |aeroespacial                  |1     |1     
5745  |aerol                         |1     |1     
5746  |aeroline                      |1     |1     
5747  |aeronaut                      |8     |2     
5748  |aeroplan                      |1     |1     
5749  |aest                          |1     |1     
5750  |af7506                        |3     |1     
5751  |afa                           |4     |4     
5752  |afabl                         |1     |1     
5753  |afan                          |1     |1     
5754  |afasi                         |1     |1     
5755  |afeccion                      |2     |2     
5756  |afect                         |29    |29    
5757  |afectu                        |1     |1     
5758  |aferr                         |3     |1     
5759  |affairs                       |4     |1     
5760  |affectant                     |1     |1     
5761  |affecting                     |1     |1     
5762  |affirmation                   |2     |1     
5763  |afgan                         |3     |1     
5764  |afganistn                     |2     |1     
5765  |afianz                        |8     |8     
5766  |afich                         |8     |8     
5767  |afili                         |13    |10    
5768  |afiliacion                    |1     |1     
5769  |afin                          |16    |16    
5770  |afirm                         |11    |11    
5771  |afirmacion                    |4     |1     
5772  |afjp                          |2     |2     
5773  |aflig                         |1     |1     
5774  |aflor                         |2     |1     
5775  |afluenci                      |2     |1     
5776  |afor                          |3     |3     
5777  |afortun                       |4     |1     
5778  |afp                           |4     |4     
5779  |afric                         |2     |2     
5780  |african                       |1     |1     
5781  |afroamerican                  |1     |1     
5782  |afrodisiac                    |1     |1     
5783  |afront                        |5     |5     
5784  |afsca                         |1     |1     
5785  |after                         |7     |7     
5786  |afterbegin                    |1     |1     
5787  |afuer                         |4     |4     
5788  |agamb                         |5     |2     
5789  |agarr                         |2     |1     
5790  |agasaj                        |1     |1     
5791  |agav                          |4     |1     
5792  |age                           |1     |1     
5793  |agenci                        |17    |17    
5794  |agency                        |2     |2     
5795  |agend                         |36    |36    
5796  |agendaform                    |4     |1     
5797  |agendalic                     |1     |1     
5798  |agendamar15plenari            |1     |1     
5799  |agent                         |16    |14    
5800  |agenti                        |2     |2     
5801  |agil                          |3     |3     
5802  |agiliz                        |5     |4     
5803  |agimensur                     |1     |1     
5804  |agin                          |1     |1     
5805  |agit                          |5     |1     
5806  |aglutinacion                  |1     |1     
5807  |ago                           |33    |3     
5808  |agobacterium                  |1     |1     
5809  |agobi                         |1     |1     
5810  |agon                          |1     |1     
5811  |agoni                         |1     |1     
5812  |agorecolog                    |1     |1     
5813  |agos                          |8     |1     
5814  |agost                         |69    |66    
5815  |agostin                       |2     |1     
5816  |agot                          |4     |3     
5817  |agr                           |10    |10    
5818  |agrad                         |7     |7     
5819  |agradec                       |5     |5     
5820  |agradezc                      |1     |1     
5821  |agrari                        |29    |28    
5822  |agrarias25                    |2     |1     
5823  |agrariasnuev                  |1     |1     
5824  |agrariasunivers               |1     |1     
5825  |agrav                         |1     |1     
5826  |agravi                        |2     |2     
5827  |agreements                    |1     |1     
5828  |agreg                         |26    |26    
5829  |agregacion                    |2     |1     
5830  |agregari                      |1     |1     
5831  |agremiacion                   |1     |1     
5832  |agres                         |4     |1     
5833  |agresion                      |1     |1     
5834  |agresor                       |1     |1     
5835  |agri                          |2     |2     
5836  |agricol                       |7     |6     
5837  |agricultur                    |19    |11    
5838  |agrim                         |3     |1     
5839  |agrimensur                    |10    |8     
5840  |agrin                         |2     |1     
5841  |agro@unr.edu.ar               |1     |1     
5842  |agroalimentari                |4     |2     
5843  |agrobiotecnologi              |5     |2     
5844  |agroecosistem                 |2     |1     
5845  |agroindustri                  |5     |5     
5846  |agroindustrial                |7     |7     
5847  |agromensaj                    |2     |1     
5848  |agrometeorolg                 |1     |1     
5849  |agrometeorolog                |2     |1     
5850  |agrometeorologi               |1     |1     
5851  |agromteteorologi              |1     |1     
5852  |agron                         |10    |4     
5853  |agronegoci                    |3     |2     
5854  |agronom                       |14    |14    
5855  |agronomi                      |19    |19    
5856  |agronomiafac                  |2     |1     
5857  |agropecuari                   |26    |24    
5858  |agroquim                      |2     |1     
5859  |agrosistem                    |1     |1     
5860  |agrot                         |1     |1     
5861  |agrotur                       |1     |1     
5862  |agrup                         |8     |7     
5863  |agrupacion                    |2     |2     
5864  |agu                           |20    |19    
5865  |aguamarin                     |1     |1     
5866  |aguant                        |2     |1     
5867  |aguard                        |14    |14    
5868  |aguay                         |1     |1     
5869  |agud                          |4     |4     
5870  |agudiz                        |2     |2     
5871  |aguer                         |1     |1     
5872  |aguerr                        |1     |1     
5873  |agui                          |1     |1     
5874  |aguil                         |5     |5     
5875  |aguilar                       |1     |1     
5876  |aguilar@biol.unlp.edu.ar      |1     |1     
5877  |aguiler                       |2     |1     
5878  |aguirr                        |4     |4     
5879  |agujer                        |2     |2     
5880  |agustin                       |7     |7     
5881  |agustintitul                  |1     |1     
5882  |agustoni                      |1     |1     
5883  |ahendu                        |1     |1     
5884  |ahi                           |3     |3     
5885  |ahijun                        |1     |1     
5886  |ahinc                         |1     |1     
5887  |ahistor                       |1     |1     
5888  |ahog                          |1     |1     
5889  |ahon                          |1     |1     
5890  |ahor                          |20    |20    
5891  |ahorr                         |2     |2     
5892  |aht                           |1     |1     
5893  |ahum                          |1     |1     
5894  |aid                           |1     |1     
5895  |aidelf                        |2     |1     
5896  |aidof                         |1     |1     
5897  |aied                          |1     |1     
5898  |ail                           |6     |1     
5899  |ailin                         |1     |1     
5900  |aim                           |1     |1     
5901  |aimogast                      |1     |1     
5902  |ainchil                       |1     |1     
5903  |aingres                       |1     |1     
5904  |air                           |126   |126   
5905  |aires                         |1     |1     
5906  |airesv                        |1     |1     
5907  |ais                           |7     |7     
5908  |aisl                          |3     |3     
5909  |aislacion                     |1     |1     
5910  |aislad                        |1     |1     
5911  |aislant                       |2     |1     
5912  |aislf                         |5     |1     
5913  |aix                           |3     |2     
5914  |aj12                          |1     |1     
5915  |aj14                          |1     |1     
5916  |aj16                          |1     |1     
5917  |aj18                          |1     |1     
5918  |aj20                          |1     |1     
5919  |aj22                          |1     |1     
5920  |aj24                          |1     |1     
5921  |ajax                          |4     |4     
5922  |ajedrez                       |3     |3     
5923  |ajen                          |6     |5     
5924  |ajmechet                      |2     |2     
5925  |ajuarez@untref.edu.ar         |1     |1     
5926  |ajust                         |12    |12    
5927  |ajustarifram                  |2     |1     
5928  |ajustariframe2                |2     |1     
5929  |ala                           |4     |3     
5930  |alab                          |1     |1     
5931  |alach                         |1     |1     
5932  |aladef                        |1     |1     
5933  |alagi                         |1     |1     
5934  |alain                         |1     |1     
5935  |alak                          |1     |1     
5936  |alammi                        |1     |1     
5937  |alan                          |2     |2     
5938  |alanis                        |1     |1     
5939  |alarm                         |1     |1     
5940  |alas                          |9     |6     
5941  |alasi                         |1     |1     
5942  |alay                          |2     |2     
5943  |alba                          |8     |3     
5944  |alban                         |2     |2     
5945  |albardon                      |1     |1     
5946  |albatch                       |1     |1     
5947  |albatr                        |8     |1     
5948  |alberdi                       |9     |6     
5949  |alberg                        |5     |5     
5950  |albert                        |30    |29    
5951  |albertautor                   |1     |1     
5952  |alberteng                     |1     |1     
5953  |albicelest                    |1     |1     
5954  |albin                         |2     |1     
5955  |albos                         |1     |1     
5956  |album                         |2     |2     
5957  |alcal                         |2     |2     
5958  |alcanc                        |19    |19    
5959  |alcanz                        |26    |26    
5960  |alcaraz                       |1     |1     
5961  |alcid                         |1     |1     
5962  |alcir                         |1     |1     
5963  |alcohol                       |3     |3     
5964  |alcort                        |3     |2     
5965  |alcu                          |6     |1     
5966  |alda                          |2     |1     
5967  |aldan                         |4     |1     
5968  |aldaofech                     |1     |1     
5969  |aldar                         |1     |1     
5970  |alde                          |1     |1     
5971  |alderett                      |1     |1     
5972  |aldo                          |4     |4     
5973  |ale                           |3     |2     
5974  |aleacion                      |3     |3     
5975  |aleatori                      |3     |3     
5976  |aledan                        |2     |2     
5977  |aleg                          |1     |1     
5978  |alegr                         |2     |2     
5979  |alegri                        |7     |5     
5980  |alej                          |5     |5     
5981  |alejandr                      |23    |20    
5982  |alejandrotitul                |3     |1     
5983  |alem                          |10    |10    
5984  |aleman                        |5     |3     
5985  |alemani                       |9     |5     
5986  |alemany                       |1     |1     
5987  |alen                          |2     |1     
5988  |alent                         |2     |2     
5989  |aleph                         |1     |1     
5990  |aler                          |1     |1     
5991  |alerg                         |1     |1     
5992  |alergi                        |3     |3     
5993  |alert                         |24    |24    
5994  |alessandr                     |1     |1     
5995  |alete                         |1     |1     
5996  |alex                          |2     |1     
5997  |alexand                       |5     |2     
5998  |alexis                        |3     |2     
5999  |alezand                       |1     |1     
6000  |alfa                          |6     |4     
6001  |alfabet                       |5     |5     
6002  |alfabetiz                     |3     |3     
6003  |alfabetizacion                |9     |6     
6004  |alfombr                       |3     |1     
6005  |alfons                        |4     |2     
6006  |alfonsin                      |1     |1     
6007  |alfred                        |4     |4     
6008  |algarrob                      |1     |1     
6009  |algarrobal                    |1     |1     
6010  |algebr                        |7     |6     
6011  |algo                          |10    |10    
6012  |algodon                       |3     |3     
6013  |algodoner                     |1     |1     
6014  |algorithm                     |2     |2     
6015  |algorithms                    |2     |1     
6016  |algoritm                      |5     |5     
6017  |algui                         |18    |2     
6018  |algun                         |77    |76    
6019  |ali                           |11    |10    
6020  |alianz                        |8     |4     
6021  |alic                          |1     |1     
6022  |alici                         |17    |17    
6023  |alien                         |3     |1     
6024  |alienacion                    |2     |2     
6025  |alighieri                     |2     |1     
6026  |align                         |26    |25    
6027  |alignment                     |4     |1     
6028  |aliment                       |34    |34    
6029  |alimentacion                  |10    |9     
6030  |alimentacionfacult            |2     |1     
6031  |alimentari                    |10    |10    
6032  |alimentariazapat              |2     |1     
6033  |alimentici                    |5     |2     
6034  |alimento1                     |2     |1     
6035  |alimentos2                    |2     |1     
6036  |alimentosalfar                |2     |1     
6037  |alin                          |1     |1     
6038  |alivi                         |2     |1     
6039  |all                           |70    |70    
6040  |alla                          |7     |7     
6041  |allan                         |1     |1     
6042  |allegretti                    |1     |1     
6043  |allegretticorre               |1     |1     
6044  |allend                        |1     |1     
6045  |alli                          |16    |16    
6046  |allianc                       |2     |2     
6047  |allowfullscr                  |2     |2     
6048  |allowscriptaccess             |10    |10    
6049  |allvar                        |1     |1     
6050  |allwebmenus                   |2     |2     
6051  |alma                          |10    |4     
6052  |almac                         |1     |1     
6053  |almacen                       |4     |4     
6054  |almad                         |2     |1     
6055  |almafuert                     |3     |3     
6056  |almagr                        |12    |3     
6057  |almand                        |2     |1     
6058  |almir                         |2     |2     
6059  |almiron                       |1     |1     
6060  |almuerz                       |4     |3     
6061  |alnus                         |1     |1     
6062  |alocaliz                      |1     |1     
6063  |aloj                          |13    |13    
6064  |alons                         |7     |7     
6065  |alpeaanuev                    |1     |1     
6066  |alpha                         |5     |3     
6067  |alqu                          |1     |1     
6068  |alquil                        |2     |2     
6069  |alrededor                     |12    |12    
6070  |alsin                         |3     |1     
6071  |also                          |3     |3     
6072  |alt                           |9     |9     
6073  |alta                          |24    |24    
6074  |altamira@eicam.unsj.edu.ar    |2     |1     
6075  |altamirand                    |1     |1     
6076  |altas                         |5     |5     
6077  |altatemperatur                |1     |1     
6078  |altav                         |1     |1     
6079  |altbach                       |3     |1     
6080  |altclos                       |2     |1     
6081  |alter                         |12    |2     
6082  |alteracion                    |2     |1     
6083  |altern                        |21    |21    
6084  |alternat                      |2     |1     
6085  |alternatecontent              |2     |2     
6086  |altez                         |3     |1     
6087  |althuss                       |1     |1     
6088  |altisim                       |1     |1     
6089  |altlin                        |9     |2     
6090  |alto                          |22    |22    
6091  |altoconeten                   |12    |1     
6092  |altop                         |2     |1     
6093  |altopcionmenu                 |2     |1     
6094  |altos                         |25    |25    
6095  |altruism                      |1     |1     
6096  |altruist                      |1     |1     
6097  |altur                         |3     |3     
6098  |alturl                        |2     |1     
6099  |alu                           |3     |2     
6100  |alub                          |1     |1     
6101  |alucin                        |4     |2     
6102  |alucinacion                   |6     |1     
6103  |alud                          |4     |2     
6104  |aludi                         |1     |1     
6105  |alumbr                        |2     |2     
6106  |alumn                         |163   |163   
6107  |alumnado.cri@unne.edu.ar      |1     |1     
6108  |alumnado@eco.unne.edu.ar      |1     |1     
6109  |alumnado@med.unne.edu.ar      |1     |1     
6110  |alumni                        |1     |1     
6111  |alumniclub@uade.edu.ar        |1     |1     
6112  |alumnmos@mdp.edu.ar           |1     |1     
6113  |alumnocalendari               |1     |1     
6114  |alumnos@fbqf.unt.edu.ar       |1     |1     
6115  |alumnos@quequen.unicen.edu.ar |2     |1     
6116  |alumnos@uade.edu.ar           |1     |1     
6117  |alumnosasistent               |2     |1     
6118  |alumnoscampus                 |1     |1     
6119  |alumnoscartill                |1     |1     
6120  |alumnoscontactat              |1     |1     
6121  |alumnosestructur              |1     |1     
6122  |alumnoshonor                  |1     |1     
6123  |alumnosinfo@mail.unlu.edu.ar  |1     |1     
6124  |alumnosinfo@unlu.edu.ar       |1     |1     
6125  |alumnosmanual                 |1     |1     
6126  |alumnospract                  |5     |1     
6127  |alunsl@speedy.com.ar          |1     |1     
6128  |alusion                       |1     |1     
6129  |aluvial                       |1     |1     
6130  |aluweb                        |7     |3     
6131  |alvar                         |2     |2     
6132  |alvarez                       |6     |6     
6133  |alve                          |3     |3     
6134  |alves                         |1     |1     
6135  |alvin                         |1     |1     
6136  |always                        |6     |6     
6137  |alza                          |1     |1     
6138  |alzogaray                     |1     |1     
6139  |alzuet                        |1     |1     
6140  |ama                           |7     |2     
6141  |amab                          |2     |2     
6142  |amabl                         |1     |1     
6143  |amad                          |5     |5     
6144  |amade                         |4     |3     
6145  |amadi                         |2     |1     
6146  |amaestr                       |1     |1     
6147  |amali                         |2     |2     
6148  |aman                          |1     |1     
6149  |amancay                       |1     |1     
6150  |amand                         |1     |1     
6151  |amandi                        |1     |1     
6152  |amant                         |2     |2     
6153  |amar                          |3     |1     
6154  |amaral                        |6     |1     
6155  |amarill                       |5     |5     
6156  |amarl                         |1     |1     
6157  |amarr                         |1     |1     
6158  |amarty                        |9     |4     
6159  |amat                          |2     |2     
6160  |amateri                       |6     |1     
6161  |amateur                       |1     |1     
6162  |amatti                        |1     |1     
6163  |amaxel                        |1     |1     
6164  |amb                           |1     |1     
6165  |ambas                         |18    |17    
6166  |ambat                         |3     |3     
6167  |ambertin                      |1     |1     
6168  |ambici                        |1     |1     
6169  |ambient                       |36    |36    
6170  |ambientacion                  |8     |8     
6171  |ambiental                     |55    |53    
6172  |ambientalizacion              |1     |1     
6173  |ambienterelacion              |9     |1     
6174  |ambit                         |55    |54    
6175  |ambivalent                    |5     |1     
6176  |ambos                         |11    |11    
6177  |ambrogetti                    |1     |1     
6178  |ambrosi                       |4     |1     
6179  |ambrosi10                     |1     |1     
6180  |ambul                         |1     |1     
6181  |ambulatori                    |3     |3     
6182  |ame                           |2     |1     
6183  |ameli                         |6     |3     
6184  |amen                          |1     |1     
6185  |amenaz                        |9     |9     
6186  |amer                          |32    |29    
6187  |amerc                         |1     |1     
6188  |americ                        |10    |10    
6189  |american                      |11    |11    
6190  |amerit                        |1     |1     
6191  |ami                           |1     |1     
6192  |amic                          |3     |3     
6193  |amicis                        |1     |1     
6194  |amig                          |12    |8     
6195  |amilani@fbioyf.unr.edu.ar     |2     |1     
6196  |amin                          |1     |1     
6197  |amist                         |3     |3     
6198  |amistad                       |1     |1     
6199  |ammann                        |1     |1     
6200  |amo                           |4     |1     
6201  |amonest                       |1     |1     
6202  |among                         |2     |1     
6203  |amoni                         |1     |1     
6204  |amor                          |15    |1     
6205  |amorcit                       |1     |1     
6206  |amordaz                       |1     |1     
6207  |amorf                         |1     |1     
6208  |amorim                        |1     |1     
6209  |amorin                        |1     |1     
6210  |amorrortu                     |11    |1     
6211  |amortigu                      |1     |1     
6212  |ampar                         |4     |4     
6213  |ampli                         |49    |48    
6214  |ampliacion                    |3     |3     
6215  |ampliatori                    |1     |1     
6216  |amplif                        |1     |1     
6217  |amplitud                      |1     |1     
6218  |amu                           |2     |1     
6219  |an12                          |1     |1     
6220  |an14                          |1     |1     
6221  |an16                          |1     |1     
6222  |an18                          |1     |1     
6223  |an20                          |1     |1     
6224  |an22                          |1     |1     
6225  |an24                          |1     |1     
6226  |ana                           |18    |18    
6227  |anabel                        |2     |2     
6228  |anabitart                     |1     |1     
6229  |anacl                         |1     |1     
6230  |anad                          |10    |9     
6231  |anadidur                      |1     |1     
6232  |anagnorisis                   |1     |1     
6233  |anagram                       |2     |1     
6234  |anahi                         |4     |4     
6235  |anal                          |20    |19    
6236  |analfabet                     |1     |1     
6237  |anali                         |6     |6     
6238  |analisis                      |54    |52    
6239  |analisiscompar                |1     |1     
6240  |analit                        |19    |19    
6241  |analiz                        |18    |18    
6242  |analog                        |3     |3     
6243  |analogi                       |1     |1     
6244  |analys                        |1     |1     
6245  |analysis                      |5     |2     
6246  |analytics                     |68    |66    
6247  |anank                         |1     |1     
6248  |anapaulamulet@gmail.com       |1     |1     
6249  |anaranj                       |1     |1     
6250  |anarqu                        |6     |3     
6251  |anarqui                       |1     |1     
6252  |anatitul                      |2     |1     
6253  |anatom                        |3     |3     
6254  |anatomi                       |6     |5     
6255  |anatomopatologi               |1     |1     
6256  |anchet                        |1     |1     
6257  |ancho                         |5     |5     
6258  |ancian                        |2     |1     
6259  |ancla                         |2     |2     
6260  |anclad                        |1     |1     
6261  |and                           |43    |43    
6262  |anda                          |1     |1     
6263  |andaliuci                     |2     |1     
6264  |andaluci                      |2     |1     
6265  |andant                        |1     |1     
6266  |andar                         |4     |2     
6267  |anderson                      |1     |1     
6268  |andes                         |23    |18    
6269  |andi                          |1     |1     
6270  |andin                         |4     |4     
6271  |andrad                        |2     |1     
6272  |andre                         |6     |6     
6273  |andreak@unlu.edu.ar           |2     |1     
6274  |andres                        |17    |15    
6275  |andrespasantis                |1     |1     
6276  |andresprograms                |1     |1     
6277  |andrestitul                   |1     |1     
6278  |andrew                        |1     |1     
6279  |andrieucentr                  |1     |1     
6280  |andrinol                      |1     |1     
6281  |anecdot                       |2     |2     
6282  |anej                          |1     |1     
6283  |anel                          |1     |1     
6284  |anemi                         |2     |2     
6285  |anestes                       |1     |1     
6286  |anestesi                      |1     |1     
6287  |anex                          |15    |15    
6288  |anfitrion                     |1     |1     
6289  |angel                         |25    |25    
6290  |anglosajon                    |2     |2     
6291  |angol                         |2     |2     
6292  |angostur                      |3     |2     
6293  |angualast                     |1     |1     
6294  |anguasti                      |1     |1     
6295  |anguian                       |1     |1     
6296  |angul                         |2     |2     
6297  |angusti                       |11    |1     
6298  |anhel                         |4     |2     
6299  |ani                           |2     |1     
6300  |anibal                        |5     |4     
6301  |anicet                        |1     |1     
6302  |anid                          |1     |1     
6303  |anim                          |7     |7     
6304  |animacion                     |5     |5     
6305  |animal                        |25    |11    
6306  |animat                        |12    |3     
6307  |animatealqu                   |2     |2     
6308  |animation                     |2     |2     
6309  |animsp                        |1     |1     
6310  |anin                          |2     |1     
6311  |aniquil                       |3     |1     
6312  |aniquilacion                  |2     |2     
6313  |anit                          |1     |1     
6314  |aniversari                    |10    |10    
6315  |aniversarioel                 |1     |1     
6316  |anlisis                       |2     |2     
6317  |anmic                         |1     |1     
6318  |anna                          |2     |1     
6319  |anne                          |3     |2     
6320  |annealing                     |1     |1     
6321  |annunzi                       |1     |1     
6322  |ano                           |114   |114   
6323  |anomal                        |2     |1     
6324  |anomes                        |1     |1     
6325  |anomi                         |1     |1     
6326  |anon                          |1     |1     
6327  |anonim                        |5     |4     
6328  |anonimat                      |1     |1     
6329  |anoorientacion                |1     |1     
6330  |anor                          |2     |1     
6331  |anorexi                       |2     |1     
6332  |anormal                       |1     |1     
6333  |anos                          |91    |90    
6334  |anoshas                       |1     |1     
6335  |anoslicenciatur               |1     |1     
6336  |anospor                       |2     |1     
6337  |anot                          |3     |3     
6338  |anoth                         |1     |1     
6339  |anovassi                      |1     |1     
6340  |anpcyt                        |3     |2     
6341  |ans                           |1     |1     
6342  |ansa                          |1     |1     
6343  |ansaldi                       |1     |1     
6344  |ansart                        |2     |1     
6345  |anselmin                      |1     |1     
6346  |ansermet                      |1     |1     
6347  |anses                         |2     |1     
6348  |ansied                        |2     |2     
6349  |ansilt                        |1     |1     
6350  |ant                           |2     |2     
6351  |antagon                       |2     |1     
6352  |antart                        |4     |3     
6353  |ante                          |29    |28    
6354  |anteced                       |3     |3     
6355  |antecedent                    |26    |26    
6356  |antecesor                     |1     |1     
6357  |antelacion                    |6     |1     
6358  |anten                         |6     |6     
6359  |anteoj                        |3     |1     
6360  |antepais                      |1     |1     
6361  |anteproyect                   |2     |1     
6362  |anterior                      |49    |49    
6363  |anteriores                    |1     |1     
6364  |anterioreslic                 |1     |1     
6365  |anteriorestrabaj              |4     |1     
6366  |anteriorsiguient              |1     |1     
6367  |antes                         |37    |36    
6368  |anthony                       |1     |1     
6369  |anthropology                  |3     |1     
6370  |anti                          |1     |1     
6371  |antibiot                      |1     |1     
6372  |anticip                       |7     |7     
6373  |anticipacion                  |2     |2     
6374  |anticoncepcion                |1     |1     
6375  |anticoncept                   |3     |1     
6376  |anticonvuls                   |1     |1     
6377  |antidogmat                    |1     |1     
6378  |antifung                      |1     |1     
6379  |antig                         |3     |3     
6380  |antigripal                    |1     |1     
6381  |antigu                        |8     |4     
6382  |antigued                      |2     |2     
6383  |antihepatits                  |1     |1     
6384  |antihuman                     |2     |1     
6385  |antimeningococc               |1     |1     
6386  |antinfecci                    |1     |1     
6387  |antinomi                      |1     |1     
6388  |antioqui                      |1     |1     
6389  |antioxid                      |4     |1     
6390  |antiparasitari                |2     |2     
6391  |antipirateri                  |1     |1     
6392  |antisarampion                 |1     |1     
6393  |antisism                      |4     |1     
6394  |antisocial                    |1     |1     
6395  |antispam                      |2     |2     
6396  |antispamtien                  |1     |1     
6397  |antispywar                    |1     |1     
6398  |antitabac                     |1     |1     
6399  |antiviral                     |1     |1     
6400  |antivirus                     |1     |1     
6401  |antocianin                    |4     |1     
6402  |antolog                       |2     |1     
6403  |antologi                      |5     |4     
6404  |antonell                      |3     |1     
6405  |antoni                        |21    |19    
6406  |antonietti                    |1     |1     
6407  |antony                        |1     |1     
6408  |antorch                       |2     |2     
6409  |antropolog                    |4     |4     
6410  |antropologi                   |13    |12    
6411  |antropologiadirector          |1     |1     
6412  |antropounsam@unsam.edu.ar     |2     |1     
6413  |anual                         |45    |45    
6414  |anualesfestival               |1     |1     
6415  |anualnumer                    |17    |1     
6416  |anuari                        |4     |4     
6417  |anuarioissn                   |1     |1     
6418  |anud                          |2     |1     
6419  |anul                          |3     |3     
6420  |anulacion                     |1     |1     
6421  |anunci                        |16    |16    
6422  |any                           |2     |2     
6423  |anyon                         |1     |1     
6424  |anything                      |1     |1     
6425  |anywher                       |1     |1     
6426  |anza                          |3     |2     
6427  |aol                           |1     |1     
6428  |aolecular                     |1     |1     
6429  |aos                           |11    |9     
6430  |apac                          |1     |1     
6431  |apach                         |6     |6     
6432  |apacigu                       |1     |1     
6433  |apag                          |1     |1     
6434  |apagatod                      |3     |1     
6435  |apagon                        |1     |1     
6436  |apar                          |2     |2     
6437  |aparat                        |11    |3     
6438  |aparatologi                   |1     |1     
6439  |aparec                        |9     |9     
6440  |aparecer                      |1     |1     
6441  |apareci                       |2     |2     
6442  |aparej                        |1     |1     
6443  |aparent                       |3     |2     
6444  |aparezc                       |2     |2     
6445  |aparici                       |2     |2     
6446  |aparicion                     |6     |6     
6447  |aparient                      |3     |3     
6448  |apart                         |12    |12    
6449  |apartament                    |9     |1     
6450  |apartments                    |7     |1     
6451  |apasion                       |2     |2     
6452  |apdh                          |1     |1     
6453  |apel                          |1     |1     
6454  |apelacion                     |1     |1     
6455  |apell                         |14    |14    
6456  |apen                          |2     |2     
6457  |apendic                       |1     |1     
6458  |apercib                       |3     |1     
6459  |apertur                       |29    |28    
6460  |apes                          |1     |1     
6461  |apetent                       |1     |1     
6462  |apex                          |10    |9     
6463  |api                           |1     |1     
6464  |apiacea                       |1     |1     
6465  |apicol                        |4     |3     
6466  |aplaz                         |1     |1     
6467  |aplic                         |78    |78    
6468  |aplicaci                      |5     |2     
6469  |aplicacin                     |1     |1     
6470  |aplicacion                    |37    |37    
6471  |aplicadasd                    |1     |1     
6472  |aplom                         |1     |1     
6473  |apol                          |1     |1     
6474  |apoline                       |2     |1     
6475  |aport                         |51    |51    
6476  |aporta@quimica.unlp.edu.ar    |1     |1     
6477  |apost                         |5     |1     
6478  |apostill                      |3     |2     
6479  |apoy                          |56    |56    
6480  |apoyatur                      |2     |1     
6481  |appadurai                     |1     |1     
6482  |appe                          |2     |1     
6483  |append                        |3     |3     
6484  |appendchild                   |3     |3     
6485  |appendstmi                    |40    |1     
6486  |appignanesi                   |1     |1     
6487  |applets                       |1     |1     
6488  |appli                         |1     |1     
6489  |application                   |4     |3     
6490  |applications                  |4     |4     
6491  |applique                      |2     |2     
6492  |apply                         |5     |5     
6493  |appnam                        |6     |6     
6494  |apprentissag                  |1     |1     
6495  |approach                      |1     |1     
6496  |approcci                      |2     |1     
6497  |approch                       |3     |1     
6498  |appversion                    |10    |9     
6499  |apr                           |2     |1     
6500  |apra                          |1     |1     
6501  |apreci                        |6     |6     
6502  |apreciacion                   |1     |1     
6503  |aprehend                      |3     |2     
6504  |aprend                        |15    |15    
6505  |aprendi                       |2     |1     
6506  |aprendic                      |3     |1     
6507  |aprendizaj                    |41    |41    
6508  |aprendizaje                   |1     |1     
6509  |aprension                     |1     |1     
6510  |aprest                        |2     |2     
6511  |april                         |2     |1     
6512  |aprob                         |39    |39    
6513  |aprobacin                     |1     |1     
6514  |aprobacion                    |13    |13    
6515  |aprobadopor                   |1     |1     
6516  |apropi                        |8     |7     
6517  |apropiacion                   |3     |3     
6518  |aprovech                      |15    |15    
6519  |aprox                         |2     |2     
6520  |aproxim                       |14    |14    
6521  |aproximacion                  |7     |6     
6522  |aprueb                        |6     |6     
6523  |apse                          |2     |1     
6524  |apseegia@box.servinet.com.ar  |1     |1     
6525  |aptas                         |2     |1     
6526  |aptitud                       |16    |7     
6527  |apto                          |2     |1     
6528  |aptos                         |1     |1     
6529  |apu                           |1     |1     
6530  |apud                          |2     |2     
6531  |apuest                        |7     |3     
6532  |apuingenieri                  |4     |1     
6533  |apunsl@unsl.edu.ar            |1     |1     
6534  |apunt                         |19    |19    
6535  |apuntal                       |1     |1     
6536  |aqu                           |17    |17    
6537  |aquarius                      |1     |1     
6538  |aquatic                       |1     |1     
6539  |aquel                         |6     |6     
6540  |aquell                        |43    |43    
6541  |aqui                          |79    |78    
6542  |aquil                         |1     |1     
6543  |aquin                         |1     |1     
6544  |aquisi                        |1     |1     
6545  |aquiunivers                   |1     |1     
6546  |ar12                          |1     |1     
6547  |ar14                          |1     |1     
6548  |ar16                          |1     |1     
6549  |ar18                          |1     |1     
6550  |ar20                          |1     |1     
6551  |ar22                          |1     |1     
6552  |ar24                          |1     |1     
6553  |ara                           |3     |2     
6554  |arab                          |3     |3     
6555  |arabic                        |4     |3     
6556  |aracca@fbioyf.unr.edu.ar      |2     |1     
6557  |araceli                       |2     |1     
6558  |arafat                        |6     |1     
6559  |araga                         |1     |1     
6560  |aramouni                      |1     |1     
6561  |aran                          |8     |8     
6562  |arancel                       |26    |26    
6563  |arancelari                    |2     |2     
6564  |arand                         |1     |1     
6565  |arandan                       |4     |1     
